name,artist,id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Guardian,Stay+,2Mlf3IbJNbx6e8Gdq8i5ua,0,electronic,0.42,0.658,9,-7.365,0,0.0817,0.371,0.345,0.301,0.104,135.052,audio_features,spotify:track:2Mlf3IbJNbx6e8Gdq8i5ua,https://api.spotify.com/v1/tracks/2Mlf3IbJNbx6e8Gdq8i5ua,https://api.spotify.com/v1/audio-analysis/2Mlf3IbJNbx6e8Gdq8i5ua,283625,4
Fugue State,NERO,1Ts2AFMVmOpDnwcff18O3a,0,electronic,0.364,0.813,1,-3.868,1,0.0652,3.56e-05,0.908,0.151,0.267,123.474,audio_features,spotify:track:1Ts2AFMVmOpDnwcff18O3a,https://api.spotify.com/v1/tracks/1Ts2AFMVmOpDnwcff18O3a,https://api.spotify.com/v1/audio-analysis/1Ts2AFMVmOpDnwcff18O3a,214760,4
Miss You,trentemøller,1ph6Bncj7s3BmYp6FkIzP8,0,electronic,0.542,0.134,7,-22.526,0,0.0367,0.948,0.931,0.152,0.216,126.954,audio_features,spotify:track:1ph6Bncj7s3BmYp6FkIzP8,https://api.spotify.com/v1/tracks/1ph6Bncj7s3BmYp6FkIzP8,https://api.spotify.com/v1/audio-analysis/1ph6Bncj7s3BmYp6FkIzP8,243400,4
Flashback,Calvin Harris,1CcS1yrulOFPXYk7NVKAm2,34,electronic,0.266,0.95,9,-5.646,0,0.05,0.00212,0.000991,0.0922,0.158,127.986,audio_features,spotify:track:1CcS1yrulOFPXYk7NVKAm2,https://api.spotify.com/v1/tracks/1CcS1yrulOFPXYk7NVKAm2,https://api.spotify.com/v1/audio-analysis/1CcS1yrulOFPXYk7NVKAm2,227880,4
Everyday - Netsky Remix,Rusko,3xcv3R9LGJkprp0EOQvdNt,0,electronic,0.327,0.933,2,-4.981,1,0.0739,0.000346,0.891,0.245,0.102,173.92,audio_features,spotify:track:3xcv3R9LGJkprp0EOQvdNt,https://api.spotify.com/v1/tracks/3xcv3R9LGJkprp0EOQvdNt,https://api.spotify.com/v1/audio-analysis/3xcv3R9LGJkprp0EOQvdNt,251670,4
African Herbsman,"Lee ""Scratch"" Perry",0pMJ5MiAk4WyxwyWfPaevi,0,reggae,0.654,0.587,3,-8.302,1,0.175,0.794,0.00021,0.113,0.772,107.826,audio_features,spotify:track:0pMJ5MiAk4WyxwyWfPaevi,https://api.spotify.com/v1/tracks/0pMJ5MiAk4WyxwyWfPaevi,https://api.spotify.com/v1/audio-analysis/0pMJ5MiAk4WyxwyWfPaevi,143360,4
Book Of Life,I Wayne,4sa3X37C2dqtsf3dleqt9s,0,reggae,0.599,0.63,1,-6.996,0,0.235,0.0786,0.0,0.0989,0.555,89.994,audio_features,spotify:track:4sa3X37C2dqtsf3dleqt9s,https://api.spotify.com/v1/tracks/4sa3X37C2dqtsf3dleqt9s,https://api.spotify.com/v1/audio-analysis/4sa3X37C2dqtsf3dleqt9s,248547,4
Herb Fields (Album Version),Rootz Underground,6PG1WenBRsErdg5yXFxP1o,0,reggae,0.741,0.575,2,-7.303,0,0.336,0.211,0.0,0.0427,0.876,74.382,audio_features,spotify:track:6PG1WenBRsErdg5yXFxP1o,https://api.spotify.com/v1/tracks/6PG1WenBRsErdg5yXFxP1o,https://api.spotify.com/v1/audio-analysis/6PG1WenBRsErdg5yXFxP1o,273093,4
What Happened to the Love,Glen Washington,1VpBDbbduvg6yBFMEIfoVt,1,reggae,0.733,0.561,0,-8.177,1,0.118,0.0165,0.63,0.0758,0.814,151.302,audio_features,spotify:track:1VpBDbbduvg6yBFMEIfoVt,https://api.spotify.com/v1/tracks/1VpBDbbduvg6yBFMEIfoVt,https://api.spotify.com/v1/audio-analysis/1VpBDbbduvg6yBFMEIfoVt,186467,4
Pirates Anthem,Home T / Cocoa Tea / Shabba Ranks,5x1Yxb2IWzPWXcXGDrRMbb,0,reggae,0.709,0.504,1,-9.296,0,0.162,0.000599,0.0,0.209,0.7,169.201,audio_features,spotify:track:5x1Yxb2IWzPWXcXGDrRMbb,https://api.spotify.com/v1/tracks/5x1Yxb2IWzPWXcXGDrRMbb,https://api.spotify.com/v1/audio-analysis/5x1Yxb2IWzPWXcXGDrRMbb,248427,4
